Date_Key,Product_Key,Geography_Key,Sales_Fact,Sales_Plan,Ad_Spend,Impressions,Conversion_Rate,Net_Profit_Raw
20200101,1,101,1288.36,1147.92,95.85,26240.0,0.0307,243.29
20200102,2,102,974.91,1283.02,142.99,24476.0,0.0115,137.16
20200103,2,103,1371.93,1271.25,200.05,51460.0,0.0297,335.57
20200104,3,104,1813.65,1086.54,135.59,95797.0,0.027,395.44
20200105,2,105,939.11,1047.09,79.64,43723.0,0.0385,221.73
20200106,2,106,943.18,1186.65,131.63,47637.0,0.0158,118.19
20200107,3,107,1853.92,1480.55,271.9,57089.0,0.009,382.64
20200108,1,108,1452.1,927.4,137.0,48223.0,0.0164,318.78
20200109,2,108,837.72,886.2,68.78,27407.0,0.0344,203.38
20200110,4,101,1347.82,1217.14,138.3,31855.0,0.005,301.85
20200111,2,109,848.91,1198.86,100.83,15072.0,0.005,180.66
20200112,2,103,851.84,1227.84,65.89,35429.0,0.0209,248.57
20200113,2,110,1209.77,1246.46,149.58,71999.0,0.0156,197.19
20200114,1,106,136.24,1157.53,7.52,3066.0,0.0201,37.75
20200115,4,110,234.52,1504.65,12.88,4010.0,0.0295,47.21
20200116,4,111,819.93,891.0,72.67,41061.0,0.0145,223.23
20200117,2,106,598.76,1049.99,51.1,15787.0,0.005,127.08
20200118,5,104,1266.4,1199.55,103.29,66276.0,0.0404,224.57
20200119,3,109,659.36,896.07,65.34,30777.0,0.01,132.79
20200120,4,112,411.33,1194.06,33.76,23674.0,0.0094,77.01
20200121,5,108,1854.41,1566.04,128.37,61940.0,0.031,383.22
20200122,5,110,1012.8,1242.44,81.98,45362.0,0.0162,268.43
20200123,1,110,1163.56,1288.92,171.61,41793.0,0.0194,189.07
20200124,3,102,421.53,995.26,38.41,18284.0,0.0248,120.32
20200125,2,113,865.82,1128.54,81.8,30505.0,0.0308,194.98
20200126,2,110,1197.58,1181.29,128.92,28129.0,0.0167,308.72
20200127,5,104,570.73,1197.31,84.66,21605.0,0.0352,79.96
20200128,4,108,1338.18,1521.69,99.24,51903.0,0.005,330.04
20200129,3,110,854.12,1381.42,100.9,43968.0,0.0276,188.06
20200130,3,111,1012.7,1052.1,123.14,48709.0,0.0116,241.11
20200131,5,108,861.79,1328.21,95.43,38669.0,0.0337,120.19
20200201,5,107,2092.89,1383.06,123.18,42072.0,0.0214,691.46
20200202,5,114,1164.1,1515.96,137.0,55211.0,0.0133,321.03
20200203,3,106,646.09,1608.54,36.45,24237.0,0.0266,200.93
20200204,2,108,1590.31,1093.92,174.32,87840.0,0.0289,230.16
20200205,1,115,572.71,1139.27,70.99,32298.0,0.0264,73.97
20200206,1,101,1291.65,1054.42,91.83,22581.0,0.0097,297.94
20200207,4,114,211.47,1263.63,28.37,10981.0,0.0152,28.3
20200208,2,108,531.29,1408.19,28.18,8871.0,0.02,167.28
20200209,5,103,1297.89,1516.87,174.41,40913.0,0.0196,155.51
20200210,4,112,1572.77,1308.69,151.04,61973.0,0.0275,444.38
20200211,4,103,1293.28,1264.39,92.8,28018.0,0.005,404.89
20200212,2,110,1153.84,1363.18,73.13,56058.0,0.0233,368.98
20200213,3,103,1065.17,1170.27,154.8,16378.0,0.0171,179.7
20200214,5,107,480.51,1759.66,27.52,10853.0,0.0116,108.39
20200215,4,108,863.9,1024.67,60.39,35537.0,0.0126,237.66
20200216,4,116,997.55,1387.6,84.57,47032.0,0.0179,168.12
20200217,1,107,1760.46,1759.81,197.21,99024.0,0.005,392.26
20200218,4,106,1407.74,1360.88,147.08,65808.0,0.013,384.25
20200219,4,116,358.43,1325.94,22.42,16212.0,0.0112,95.9
20200220,4,103,1406.01,1296.87,111.04,46040.0,0.0253,308.15
20200221,4,112,1055.43,1336.69,77.97,15892.0,0.0119,212.45
20200222,4,112,913.51,1651.74,65.18,18642.0,0.0178,237.36
20200223,5,105,1561.8,939.19,142.3,60996.0,0.0354,343.36
20200224,4,114,1775.45,1692.63,213.77,80571.0,0.0299,425.21
20200225,1,117,1729.57,1105.53,124.09,58434.0,0.029,400.16
20200226,5,114,848.28,1341.35,73.52,40616.0,0.015,140.33
20200227,3,110,1117.24,1313.19,99.54,42996.0,0.0254,339.14
20200228,3,118,1441.43,1521.09,212.82,26433.0,0.0177,172.07
20200229,2,113,1767.51,1088.09,257.11,41785.0,0.018,300.82
20200301,2,114,1044.08,1504.47,135.74,55127.0,0.0241,242.41
20200302,5,119,1194.75,1821.2,88.61,56895.0,0.014,218.16
20200303,3,118,738.32,1148.01,41.94,40803.0,0.0349,199.86
20200304,5,111,697.29,1462.87,56.96,14148.0,0.0184,187.26
20200305,3,101,1705.54,1296.81,130.78,101582.0,0.0262,505.0
20200306,4,116,1981.27,1518.64,199.3,48389.0,0.0346,520.56
20200307,5,102,1271.01,1441.54,162.4,19739.0,0.0303,187.22
20200308,3,112,1812.63,1313.65,246.21,108548.0,0.0059,311.79
20200309,5,118,1495.52,1543.75,201.13,41349.0,0.0244,192.21
20200310,4,116,995.97,1811.25,85.62,44879.0,0.0285,278.11
20200311,1,109,1503.04,1416.4,178.45,34496.0,0.0289,395.45
20200312,5,104,2095.16,1602.71,170.3,86133.0,0.0089,665.85
20200313,4,112,1312.02,1204.27,73.59,73055.0,0.0134,351.27
20200314,5,108,2116.03,1275.79,254.25,62229.0,0.0299,275.29
20200315,5,114,27.59,1565.69,1.41,1246.0,0.0124,6.75
20200316,5,103,1752.16,1772.15,159.3,41098.0,0.017,460.51
20200317,3,108,1388.46,1550.56,115.16,59865.0,0.0358,257.6
20200318,3,101,1199.15,1420.91,143.1,36143.0,0.0195,195.95
20200319,5,101,1398.24,1487.45,177.05,34263.0,0.0127,379.01
20200320,2,107,362.26,1241.57,29.13,10539.0,0.0112,71.39
20200321,3,103,1249.88,1616.59,163.94,28807.0,0.0233,279.67
20200322,5,102,1541.93,1676.17,122.42,85710.0,0.0067,459.73
20200323,3,115,2105.96,1413.29,199.29,69230.0,0.0175,571.6
20200324,5,103,1111.5,1413.69,136.38,28941.0,0.0233,230.1
20200325,4,115,969.99,1564.84,115.71,34123.0,0.033,210.47
20200326,4,117,1126.95,1428.27,167.62,33160.0,0.0267,234.33
20200327,1,119,1839.1,1506.31,133.36,89194.0,0.0129,554.77
20200328,1,118,1549.33,1943.39,180.08,90953.0,0.0318,262.51
20200329,2,113,1123.61,1477.93,124.68,39002.0,0.017,157.89
20200330,4,101,1648.64,1459.54,233.3,88609.0,0.0076,233.81
20200331,5,102,1444.05,1405.55,94.78,58432.0,0.0183,418.74
20200401,1,102,1883.31,1687.73,235.75,41575.0,0.0344,448.42
20200402,1,118,1051.43,1506.45,112.32,48448.0,0.0217,273.92
20200403,4,112,1242.07,1416.61,96.22,47329.0,0.0201,375.14
20200404,3,119,1213.27,1814.52,118.23,53720.0,0.0364,266.74
20200405,4,116,680.97,1837.92,56.78,37478.0,0.0057,153.77
20200406,4,115,1564.17,1437.64,168.82,54464.0,0.0071,291.32
20200407,2,108,1550.01,1188.12,215.3,86108.0,0.005,246.55
20200408,4,109,1425.38,1766.61,152.42,69530.0,0.0237,355.23
20200409,4,107,1308.86,1431.84,148.13,48411.0,0.0217,310.56
20200410,2,119,721.77,1730.52,73.53,30419.0,0.0354,141.39
20200411,4,105,1222.41,1181.99,67.38,36246.0,0.0224,357.51
20200412,1,107,1264.64,1758.12,92.68,74945.0,0.016,372.84
20200413,4,112,1038.1,1340.93,102.98,46746.0,0.02,253.97
20200414,1,105,1361.81,1732.86,110.34,23114.0,0.0212,378.8
20200415,3,101,1647.68,1593.07,112.33,48933.0,0.005,524.92
20200416,4,118,2391.92,1402.92,240.18,102970.0,0.0471,418.74
20200417,5,107,1539.27,1515.77,126.65,26991.0,0.0252,292.08
20200418,5,111,1583.88,1737.88,120.08,25461.0,0.0221,461.26
20200419,4,112,1420.99,1625.22,136.98,50091.0,0.0262,417.61
20200420,5,104,501.91,1724.31,31.79,15043.0,0.0271,113.35
20200421,4,116,1451.1,2006.08,207.18,50387.0,0.0186,327.22
20200422,4,113,1497.51,1301.29,204.81,40165.0,0.0137,305.82
20200423,4,111,2702.03,1940.89,326.3,60559.0,0.026,728.52
20200424,1,101,1377.22,1641.61,83.49,63368.0,0.0239,420.65
20200425,3,119,1627.13,1444.24,207.6,62084.0,0.0119,249.73
20200426,1,116,1461.95,1361.17,191.22,35097.0,0.0342,217.16
20200427,2,112,897.88,1592.61,113.83,26381.0,0.0229,217.43
20200428,2,118,2056.52,1817.95,126.26,85616.0,0.0273,592.73
20200429,1,112,1863.94,1611.26,213.22,34018.0,0.0339,494.82
20200430,2,103,1886.33,1942.13,251.7,40811.0,0.0202,481.84
20200501,5,109,1038.93,1352.76,111.93,19008.0,0.0232,149.02
20200502,4,108,2197.81,1643.64,251.96,113307.0,0.0281,411.03
20200503,1,105,798.25,1398.62,76.5,39001.0,0.0128,177.89
20200504,1,116,1795.35,1724.84,184.69,87791.0,0.0205,327.3
20200505,1,104,2599.86,1832.47,138.93,122803.0,0.0213,573.4
20200506,3,111,1012.04,1573.89,115.27,45666.0,0.0104,167.08
20200507,1,108,1226.82,1140.12,71.33,44736.0,0.0432,416.35
20200508,3,107,1562.43,1703.65,146.09,68595.0,0.0059,435.1
20200509,3,111,1263.47,1754.07,100.15,21133.0,0.007,281.12
20200510,3,108,742.45,1750.42,77.62,31900.0,0.0331,177.51
20200511,4,116,1554.61,1919.52,98.47,77737.0,0.0271,294.27
20200512,1,113,991.7,1460.93,118.18,37205.0,0.0097,179.52
20200513,1,105,1762.15,1813.93,228.2,54782.0,0.0261,223.82
20200514,1,107,1068.1,1919.1,70.85,29356.0,0.0347,324.12
20200515,5,101,2305.22,1327.56,139.31,101259.0,0.0197,484.04
20200516,1,105,1141.04,1749.86,73.66,52689.0,0.046,327.75
20200517,4,120,1374.02,1587.72,189.22,74463.0,0.005,156.44
20200518,1,105,1944.16,1674.84,199.9,59112.0,0.0269,531.78
20200519,2,117,924.3,1763.24,89.4,45882.0,0.0317,208.73
20200520,2,108,1655.75,1598.78,100.46,66662.0,0.0289,364.93
20200521,3,104,2197.86,1563.58,252.66,120284.0,0.018,483.85
20200522,4,117,742.79,1708.01,101.61,28784.0,0.0171,143.35
20200523,1,106,1641.06,1486.17,217.96,62842.0,0.0244,195.66
20200524,3,103,1680.86,1488.85,189.27,68923.0,0.0282,375.84
20200525,5,115,1943.98,1844.25,111.83,94709.0,0.026,489.62
20200526,3,110,936.72,1480.95,57.36,54715.0,0.0304,309.66
20200527,3,112,897.06,1846.28,49.28,16425.0,0.0098,196.22
20200528,1,105,1820.32,1807.8,137.89,31682.0,0.0177,413.26
20200529,1,112,1709.87,1372.35,108.69,97787.0,0.0106,471.63
20200530,2,106,1688.63,1584.2,128.34,65594.0,0.0161,543.02
20200531,1,105,1738.58,1960.71,153.87,74186.0,0.0302,387.26
20200601,5,107,1227.28,1527.79,177.09,45052.0,0.0211,311.49
20200602,1,109,1685.33,1633.24,187.14,32383.0,0.0461,486.69
20200603,4,119,1717.62,1820.61,229.3,85132.0,0.0219,299.01
20200604,3,102,1215.76,1886.91,147.15,59116.0,0.0206,304.68
20200605,4,107,2507.64,1681.92,153.59,72788.0,0.0211,777.29
20200606,4,114,1813.46,1614.7,224.13,52193.0,0.0136,323.55
20200607,1,103,982.65,2020.61,76.17,51788.0,0.0194,308.98
20200608,2,116,1908.31,2085.81,217.38,34838.0,0.0313,456.23
